titulo,precio
Prosperidad (Distrito Chamartín. Madrid Capital),1350
Las Matas-Los Peñascales (Las Rozas de Madrid),4000
Castellana (Distrito Barrio de Salamanca. Madrid Capital),2980
El Viso (Distrito Chamartín. Madrid Capital),3900
Almagro (Distrito Chamberí. Madrid Capital),1000
Goya (Distrito Barrio de Salamanca. Madrid Capital),3000
Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),3000
Prado de Somosaguas (Pozuelo de Alarcón),3050
Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),2200
Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1480
Hispanoamérica (Distrito Chamartín. Madrid Capital),2500
Almagro (Distrito Chamberí. Madrid Capital),3450
Centro (Villaviciosa de Odón),2500
Estrella (Distrito Retiro. Madrid Capital),1550
Hispanoamérica (Distrito Chamartín. Madrid Capital),1500
La Finca (Pozuelo de Alarcón),4600
Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1200
Cuatro Caminos (Distrito Tetuán. Madrid Capital),2300
Castillejos (Distrito Tetuán. Madrid Capital),1650
Pinar del Rey (Distrito Hortaleza. Madrid Capital),2100
Centro (Móstoles),1000
Zona Avenida de Europa (Pozuelo de Alarcón),1900
Núcleo Urbano (Villanueva de la Cañada),950
Castilla (Distrito Chamartín. Madrid Capital),1650
Castillejos (Distrito Tetuán. Madrid Capital),3950
Embajadores-Lavapiés (Distrito Centro. Madrid Capital),3000
Zona Calle Casa Amarilla (Galapagar),1300
Río Rosas (Distrito Chamberí. Madrid Capital),2570
Prosperidad (Distrito Chamartín. Madrid Capital),3350
Prosperidad (Distrito Chamartín. Madrid Capital),1200
Prosperidad (Distrito Chamartín. Madrid Capital),1950
Colina (Distrito Ciudad Lineal. Madrid Capital),1700
Lista (Distrito Barrio de Salamanca. Madrid Capital),1900
Lista (Distrito Barrio de Salamanca. Madrid Capital),2500
Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),2000
Arapiles (Distrito Chamberí. Madrid Capital),2400
Costillares (Distrito Ciudad Lineal. Madrid Capital),2000
Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1300
Piovera (Distrito Hortaleza. Madrid Capital),1330
Ventas (Distrito Ciudad Lineal. Madrid Capital),900
Hispanoamérica (Distrito Chamartín. Madrid Capital),2100
Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1800
Ibiza (Distrito Retiro. Madrid Capital),3900
Sol (Distrito Centro. Madrid Capital),1200
Cortes-Huertas (Distrito Centro. Madrid Capital),1600
Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1500
Cuatro Caminos (Distrito Tetuán. Madrid Capital),2500
Palos de Moguer (Distrito Arganzuela. Madrid Capital),2100
Ibiza (Distrito Retiro. Madrid Capital),1450
Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital),2750
Parque de La Coruña-Las Suertes (Collado Villalba),880
Abrantes (Distrito Carabanchel. Madrid Capital),1550
Fuente del Berro (Distrito Barrio de Salamanca. Madrid Capital),1600
Justicia-Chueca (Distrito Centro. Madrid Capital),4100
Parque Empresarial (Las Rozas de Madrid),1147
"Pryconsa, Juan de Austria (Distrito El Val. Alcalá de Henares)",850
Almagro (Distrito Chamberí. Madrid Capital),2000
Cuatro Caminos (Distrito Tetuán. Madrid Capital),2800
Cuatro Caminos (Distrito Tetuán. Madrid Capital),1700
Hispanoamérica (Distrito Chamartín. Madrid Capital),2500
Quintana (Distrito Ciudad Lineal. Madrid Capital),1400
Zona Sureste (Torrejón de Ardoz),1350
Castillo-Campodón (Villaviciosa de Odón),1900
Universidad-Malasaña (Distrito Centro. Madrid Capital),2375
Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),4750
Castellana (Distrito Barrio de Salamanca. Madrid Capital),4950
Goya (Distrito Barrio de Salamanca. Madrid Capital),2400
Bellas Vistas (Distrito Tetuán. Madrid Capital),2100
Castillejos (Distrito Tetuán. Madrid Capital),2200
Justicia-Chueca (Distrito Centro. Madrid Capital),1550
Castellana (Distrito Barrio de Salamanca. Madrid Capital),2750
Palacio (Distrito Centro. Madrid Capital),2200
Ibiza (Distrito Retiro. Madrid Capital),1910
El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),4700
Justicia-Chueca (Distrito Centro. Madrid Capital),1650
Universidad-Malasaña (Distrito Centro. Madrid Capital),1650
Universidad-Malasaña (Distrito Centro. Madrid Capital),2700
Palacio (Distrito Centro. Madrid Capital),2190
Centro-Zona de la Estación (Tres Cantos),1200
Bellas Vistas (Distrito Tetuán. Madrid Capital),1150
Prosperidad (Distrito Chamartín. Madrid Capital),1080
Guindalera (Distrito Barrio de Salamanca. Madrid Capital),1500
Goya (Distrito Barrio de Salamanca. Madrid Capital),2600
Río Rosas (Distrito Chamberí. Madrid Capital),4200
Cuatro Caminos (Distrito Tetuán. Madrid Capital),1400
Apóstol Santiago (Distrito Hortaleza. Madrid Capital),1795
Pinar del Rey (Distrito Hortaleza. Madrid Capital),1700
Hispanoamérica (Distrito Chamartín. Madrid Capital),1300
Prosperidad (Distrito Chamartín. Madrid Capital),1700
La Tenería I-La Tenería II (Pinto),1300
